Identifier,Resource_no,Collection_Title
ref330_xg5,41125,"Citizens for Eisenhower, newsletters,"
ref331_177,41126,"Citizens for Eisenhower, women's division reports,"
ref332_wym,41127,"Inauguration of Eisenhower,"
ref333_p6u,41128,"President's Committee on Employment of the Physically Handicapped,"
ref334_ss2,41129,"President's Committee on Employment of the Physically Handicapped,"
ref335_vf6,41130,"John F. Kennedy,"
ref337_ffg,41132,"Correspondence,"
ref338_t9r,41133,"Correspondence,"
ref339_0q2,41134,"Correspondence,"
ref340_1xx,41135,"Correspondence,"
ref341_hba,41136,"Correspondence,"
ref342_deh,41137,"Correspondence,"
ref343_unm,41138,"Correspondence,"
ref344_apu,41139,"Correspondence,"
ref345_qxp,41140,"Correspondence,"
ref346_qlb,41141,"Lady Bird Johnson correspondence,"
ref347_oze,41142,"Lady Bird Johnson correspondence,"
ref348_rfc,41143,"Inauguration of Lyndon B. Johnson,"
ref349_xr6,41144,"Lyndon B. Johnson photographs,"
ref350_45q,41145,"Lyndon B. Johnson family photographs, including Lady Bird,"
ref351_zxr,41146,"Lyndon B. Johnson Library,"
ref352_j9z,41147,"Early radio speech by Lyndon B. Johnson,"
ref355_baf,41150,"Clippings,"
ref356_5r3,41151,"Oral history interview of Oveta Culp Hobby,"
ref357_3if,41152,"Lyndon B. Johnson oral history project,"
ref359_utt,41154,"National volunteers for Nixon-Lodge, correspondence,"
ref360_b83,41155,"Vice President,"
ref361_9lu,41156,"Campaign song,"
ref362_3a3,41157,"Campaign literature, Texans for Nixon radio talks,"
ref364_mqt,41159,"Correspondence,"
ref365_3s3,41160,"Correspondence,"
ref366_xvt,41161,"Correspondence,"
ref367_0sn,41162,"Correspondence,"
ref368_5nw,41163,"Gerald Ford, inaugural invitation,"
ref369_yp2,41164,"Ronald Reagan, inaugural invitations,"
ref370_gpw,41165,"George Bush, correspondence,"
ref374_r60,41167,"Subseries A: Biographical,"
ref376_xui,41169,"Biographical statements,"
ref377_1a2,41170,"Clippings,"
ref378_2nm,41171,"Clippings,"
ref381_uhb,41174,"Farewell party,"
ref383_in4,41175,"Subseries B: Office Files,"
ref386_kwl,41178,"Oveta Culp Hobby Award,"
ref387_89g,41179,"Children's Bureau,"
ref388_ut3,41180,"Correspondence with May Del Flagg,"
ref389_fzy,41181,"Correspondence,"
ref390_m50,41182,"Correspondence,"
ref391_wlp,41183,"Correspondence,"
ref392_0zl,41184,"The Economic Club,"
ref396_y4o,41188,"Executive Branch Liaison Office, quotes,"
ref397_fig,41189,"Reports,"
ref401_baa,41193,"Legislation,"
ref404_m69,41196,"Notes-enactments,"
ref410_ft2,41202,"Notes-miscellaneous,"
ref411_xhn,41203,"Notes-news releases,"
ref412_j9h,41204,"Notes-on agency memos,"
ref414_sjh,41206,"Notes-press conferences,"
ref415_0nt,41207,"Notes-program lists,"
ref418_omu,41210,"Notes-speeches,"
ref419_vrx,41211,"Notes-for story about Juvenile Delinquency,"
ref420_d6l,41212,"Notes-testimony,"
ref421_ehb,41213,"Office memo,"
ref422_52e,41214,"Official seal,"
ref423_t8c,41215,"Organization and administration,"
ref424_rxb,41216,"Photograph - Hobby and Leonard A. Sheele,"
ref426_5tc,41218,"Photographs,"
ref428_pyk,41220,"Photographs, tour - Toledo Museum of Art,"
ref431_cda,41223,"Party platforms,"
ref434_qqw,41226,"Scrapbook,"
ref435_mv9,41227,"Segregation,"
ref436_45s,41228,"Senate Appropriations,"
ref438_lqz,41230,"Social Security amendments,"
ref439_sqk,41231,"Special institutions,"
ref441_f9e,41233,"Speeches,"
ref442_g3u,41234,"Statements,"
ref443_zie,41235,"Statements made by Oveta Culp Hobby,"
ref444_ai0,41236,"Statements made by Oveta Culp Hobby,"
ref447_6b8,41238,"Subseries C: Book,"
ref457_kwb,41246,"Beaumont,"
ref458_7m7,41247,"Birmingham,"
ref459_ff6,41248,"Budget objective,"
ref460_dsl,41249,"FCC hearing - Beaumont,"
ref461_4lj,41250,"FCC hearing - Beaumont,"
ref462_h5b,41251,"FCC hearing - Beaumont,"
ref463_v4y,41252,"Educational television,"
ref464_qj7,41253,"Jack Harris,"
ref467_jg8,41256,"License for KPRC Radio,"
ref468_ova,41257,"Miscellaneous,"
ref469_f4s,41258,"Miscellaneous,"
ref471_zww,41260,"NBC election coverage,"
ref475_6cq,41263,"Subseries A: Portraits,"
ref476_hko,41264,"Oveta Culp Hobby,"
ref486_08t,41274,"Subseries B: Official Functions,"
ref488_36o,41276,"Oveta Culp Hobby at functions,"
ref500_2jy,41288,"Subseries C: Family,"
ref505_osd,41293,"Subseries D: Friends,"
ref517_auh,41305,"Subseries E: Unidentified/Miscellaneous,"
ref547_bg4,41334,"Remarks for National Foundation for Infantile Paralysis,"
ref548_ov5,41335,"Women's Interest Section of the War Dept. Bureau of Public Relations,"
ref561_7ia,41348,"""The Work of Women in WWII,"" United Daughters of the Confederacy, Houston, TX,"
ref584_77c,41371,"Address Before Ad Club at Presentation of Certificate of Merit to Joske's by Brand Names Foundation, Houston, TX,"
ref586_5ky,41373,"ANPA Convention, New York,"
ref614_ljn,41401,"Association House of Delegates, NY, NY,"
ref615_uu7,41402,"Ohio Wesleyan commencement, Delaware, OH,"
ref691_koo,41478,"""Tool of Freedom,"" Association Of National Advertisers, Hot Springs, VA,"
ref753_pcy,41540,"Subseries B: Alphabetical,"
ref804_q4h,41590,"Advertising,"
ref807_yib,41593,"Business office improvement plan,"
ref808_sot,41594,"Capital expenditures,"
ref811_dbw,41597,"Contributions - Steve Farish portrait,"
ref812_t6b,41598,"Consultant - Charles T. Main, Inc.,"
ref813_j18,41599,"Consultants - Booz, Allan & Hamilton - Management Consultants,"
ref814_ajv,41600,"Correspondence - Hoover Commission reports,"
ref815_m5v,41601,"Correspondence - miscellaneous,"
ref816_rc0,41602,"Distribution,"
ref817_tsa,41603,"Executive,"
ref818_iyv,41604,"Executive - personal employee correspondence,"
ref819_h43,41605,"Executive - personal employee correspondence,"
ref820_7xi,41606,"General Manager - Mr. Womack,"
ref821_nie,41607,"""History of the 'Houston Post'"" prepared by Edward W. Kilman,"
ref823_1qj,41609,"Helon Johnson,"
ref824_7o7,41610,"Johnson-Merritt,"
ref825_i40,41611,"Johnson-Merritt,"
ref826_hop,41612,"Johnson-Merritt,"
ref827_jfs,41613,"Karsh photographs,"
ref828_ba5,41614,"Katz Agency,"
ref829_4ss,41615,"Legal - Butler, Binion, Rice & Cook,"
ref830_sdz,41616,"Legal - Butler, Binion, Rice, Cook & Knapp,"
ref832_wz1,41618,"Legal - General Counsel, Mr. Crowther,"
ref836_gtz,41622,"Miscellaneous,"
ref837_rko,41623,"Museum of Fine Arts, bulletins, notices, minutes,"
ref842_wpt,41628,"Prohibition,"
ref845_d9l,41631,"Speaking Engagements,"
ref850_yri,41636,"Type,"
ref853_lb7,41638,"Subseries A: Biographical,"
ref854_2k5,41639,"Oveta Culp Hobby War Department appointment,"
ref855_qac,41640,"WAC Director appointment,"
ref865_t29,41650,"Launching of the SS William B. Ogden,"
ref870_djl,41655,"Subseries B: Office Files,"
ref872_sjx,41657,"Patty Treadwell,"
ref873_vqg,41658,"Patty Treadwell,"
ref881_05c,41666,"Excerpts from notes,"
ref882_2e2,41667,"Women in Armed Service Defense Advisory Committee,"
ref884_ckm,41669,"Clippings,"
ref887_9ai,41672,"Subseries C: Book,"
ref899_8oq,41683,"WTOK-TV - Greatest Headlines of the Century: ""Women in War Too"" Oveta Culp Hobby,"
ref912_d09,41696,"Negatives,"
ref17_8hg,41702,"Subseries B: Awards and Certificates,"
ref18_8ih,41703,"147th Fighter Group - Texas Air National Guard, Honorary Life Membership,"
ref19_g93,41704,"Academy of Political Science, Honorary Membership,"
ref20_a93,41705,"Amazing Women,"
ref21_0mv,41706,"Annenberg School of Communications Honorary Degree,"
ref22_46h,41707,"American Airlines System Commission,"
ref23_elk,41708,"Anti-Defamation League Dinner - Torch of Liberty Award,"
ref24_5ob,41709,"Armed Forces Honorary Life Membership,"
ref25_uoc,41710,"Bard College Honorary Degree,"
ref26_r58,41711,"Baylor College of Medicine, Honorary Degree of Doctor of Humanities in Medicine,"
ref27_09z,41712,"Mary Hardin-Baylor University Tribute,"
ref28_eci,41713,"Bryant College, Providence, RI, Honorary Doctor of Law Degree,"
ref30_9ei,41715,"Citizen's Committee for the Hoover Report - Award of Merit,"
ref31_nmx,41716,"Colorado Women's College, Doctor of Literature,"
ref32_nwn,41717,"Columbia University, Middlebury College, Doctor of Laws, Collegii Westernensis, Ohio Wesleyan University, Bryant College,"
ref33_z92,41718,"Distinguished Service Medal,"
ref35_wjk,41720,"Fairleigh Dickinson College Award of Honorary Degree of Doctor of Laws,"
ref37_pdc,41722,"Hall of Honor, George C. Marshall Foundation,"
ref38_3js,41723,"Headliners Club of Austin, Texas Publisher of the Year,"
ref39_14e,41724,"Oveta Culp Hobby Education Center, Ft. Hood, TX,"
ref40_lqv,41725,"City of Houston [TX] Appreciation,"
ref43_8ls,41728,"Jack Yates, Sr., H.S. Journalism Dept., Lady of the Press Distinguished Service Award,"
ref44_f2i,41729,"Killeen Area Heritage Association Sesquicentennial Calendar,"
ref45_nig,41730,"City of Killeen, TX, Proclamation,"
ref46_4e1,41731,"Killeen, TX, Celebration and Dedication of Mrs. Hobby's Early Home,"
ref47_9u3,41732,"Killeen, TX, Dedication of Culp Swimming Pool,"
ref48_co2,41733,"Long Island University, Doctor of Letters,"
ref49_68g,41734,"March of Dimes - Carousel of Life Ball,"
ref50_mgp,41735,"George Catlett Marshall Award,"
ref51_zc0,41736,"The George Catlett Marshall Medal,"
ref52_l2x,41737,"National Association for Mental Health - Outstanding Service Citation,"
ref53_pe6,41738,"National Conference of Christians and Jews, Honorary Dinner,"
ref54_ux6,41739,"National Federation of Press Women, Inc. Citation,"
ref55_l7o,41740,"National Institute of Social Sciences Award,"
ref56_ok9,41741,"National Retired Teachers Association and the American Association for Retired Persons, Citation for Service,"
ref57_eet,41742,"National Women's Hall of Fame,"
ref58_cum,41743,"Outstanding Women in Business, Anchor Corp. Award,"
ref60_2o7,41745,"Oveta Culp Hobby Army ROTC Battalion, Texas Women's University,"
ref62_io0,41747,"Republic of the Philippines Award of Military Merit Medal,"
ref63_2d1,41748,"Rice Alumni Association Gold Medal for Distinguished Service,"
ref64_hc6,41749,"Rotary Distinguished Citizen Award,"
ref65_yjq,41750,"St. Edward's University Coronat Medalon,"
ref66_6xr,41751,"Smith College, Doctor of Laws,"
ref67_8my,41752,"Society for the Rehabilitation of the Facially Disfigured, Inc. - Resolution,"
ref68_4gc,41753,"South's Hall of Fame for the Living,"
ref69_f3g,41754,"Southwestern Business University,"
ref70_f9p,41755,"State Teachers Colleges of Texas,"
ref71_9of,41756,"Texas A&M University Dedication of Oveta Culp Hobby Hall,"
ref72_lk3,41757,"Texas Award,"
ref73_ihu,41758,"Texas Business Hall of Fame,"
ref74_isp,41759,"Texas Centennial of Statehood Commission, Appointment,"
ref75_0hr,41760,"Texas Colleges, Doctor of Humanities,"
ref76_4sa,41761,"Texas House of Representatives Resolution,"
ref77_qlv,41762,"Texas Senate Concurrent Resolution,"
ref78_vwa,41763,"Texas Senate Resolution,"
ref79_g7l,41764,"Texas Women's Hall of Fame,"
ref80_n3m,41765,"Texas Senate Proclamation,"
ref81_pxn,41766,"Tribute to Oveta Culp Hobby,"
ref82_10d,41767,"United Daughters of the Confederacy World War II Cross of Military Service,"
ref83_zms,41768,"US Army/ Executive Flight Detachments - Marine Corps Flight Certificate,"
ref84_lfw,41769,"University of Houston, University Park,"
ref85_myn,41770,"University of Missouri School of Journalism,"
ref86_bsx,41771,"University of Pennsylvania, Doctor of Laws,"
ref87_c4k,41772,"University of Texas Significant Services Citation,"
ref88_obp,41773,"Women in Business,"
ref89_38s,41774,"Women in Texas Award,"
ref90_4t6,41775,"Women of Military Service,"
ref91_3h0,41776,"Women's Army Corps Tribute,"
ref20_ni7,42046,"Originals/copies to Grover Smith from Julian & Juliette Huxley,"
ref22_nja,42048,"Catalog (incomplete) of correspondents,"
ref302_inf,42328,"Harper & Row,"
ref303_2fd,42329,"Harper & Row,"
ref304_q4y,42330,"Harper & Row,"
ref26_vdt,43090,"Brown, Alice Pratt: Newsclippings,"
ref27_npi,43091,"Brown, Alice Pratt: Swimming pool correspondence,"
ref28_q3w,43092,"Brown, Alice Pratt: Travel-Iran,"
ref29_9zd,43093,"Brown, Alice Pratt: Travel-Moscow, India, Teheran,"
ref30_n76,43094,"Brown, Alice & George R.: Travel-Antarctica,"
ref31_dzo,43095,"Brown, Alice & George R.: Travel-Eastern Europe,"
ref32_pyi,43096,"Brown, Alice & George R.: Travel-Misc.,"
ref33_5ua,43097,"Brown, Alice P. & Isabel: Travel-Amsterdam, Paris, Rome, London,"
ref34_jum,43098,"Brown, George R.: Advisory Committee on International Business Problems,"
ref35_d6i,43099,"Brown, George/Herman: Allred Papers (originals from Univ. of Houston),"
ref36_yzh,43100,"Brown, George R.: American Society of Civil Engineers,"
ref37_1iw,43101,"Brown, George R.: Awards, honors, citations (1/2),"
ref38_aft,43102,"Brown, George R.: Awards, honors, citations (2/2),"
ref40_u6w,43104,"Brown, George R.: Birth certificate photocopy,"
ref41_p9q,43105,"Brown, George R.: [Desk] Calendars,"
ref42_je5,43106,"Brown, George R.: [Desk] Calendars,"
ref43_jty,43107,"Brown, George R.: [Desk] Calendars,"
ref44_u86,43108,"Brown, George R.: [Secretary Doris Johnson's desk] Calendars,"
ref45_hr1,43109,"Brown, George R.: [Secretary Doris Johnson's desk] Calendars,"
ref46_zbq,43110,"Brown, George R.: [Secretary Doris Johnson's desk] Calendars,"
ref47_1hp,43111,"Brown, George R.: Colorado School of Mines,"
ref49_uh4,43113,"Brown, George R.: Defense Industry Advisory Council, correspondence,"
ref50_vuv,43114,"Brown, George R.: Donations and memorials (correspondence and receipts),"
ref52_nxg,43116,"Brown, George R.: First City Bank, clippings,"
ref53_1c8,43117,"Brown, George R.: House-3363 Inwood Dr. remodeling, contract,"
ref54_6o1,43118,"Brown, George R.: Household inventory,"
ref55_4ru,43119,"Brown, George R.: Interviews, from LBJ Library, Austin, TX, transcripts,"
ref56_2u9,43120,"Brown, George R.: [Medical] Invoices,"
ref57_y36,43121,"Brown, George R.: [Texas] Medical Center, Houston, TX, dedication newsletter and photographs,"
ref60_h1i,43124,"Brown, George R.: News articles,"
ref63_563,43127,"Brown, George R.: Panel on the Impact of the Peaceful Uses of Atomic Energy, reports, newsclippings,"
ref64_gd8,43128,"Brown, George R.: Panel to Study Trade with Eastern Europe and the Soviet Union, clippings,"
ref65_uln,43129,"Brown, George R.: Philanthropy, clippings,"
ref69_ppm,43133,"Brown, George R.: Road building,"
ref70_i3u,43134,"Brown, George R.: Southwestern University, Georgetown, TX,"
ref71_6ln,43135,"Brown, George R.: Speeches,"
ref72_2wz,43136,"Brown, George R.: Telephone directory, A-H,"
ref73_k4c,43137,"Brown, George R.: Telephone directory, I-Q,"
ref74_oej,43138,"Brown, George R.: Telephone directory, R-Z,"
ref75_3e4,43139,"Brown, George R.: [Early] Texas history pamphlets,"
ref76_195,43140,"Brown, George R.: Travel, passports,"
ref77_t1k,43141,"Brown, George R.: TWA Board, clipping,"
ref78_skl,43142,"Brown, George R.: Two Houston Center, Brown & Root office space lease receipts and correspondence,"
ref79_r58,43143,"Brown, George R.: Visuals - original photographs,"
ref80_272,43144,"Brown, George R.: Wedding, invitation and clippings,"
ref81_hqd,43145,"Brown, George R.: Will,"
ref82_3xc,43146,"Brown, George R.: Work ethic, notes and speech drafts,"
ref83_mok,43147,"Brown, Herman: Awards, honors, citations,"
ref85_bq8,43149,"Brown, Herman: Business partnership,"
ref86_qvt,43150,"Brown, Herman: Death, clippings,"
ref88_t5t,43152,"Brown, Herman: Herman Brown Teaching Professorship of Medicine, brochure,"
ref89_jm7,43153,"Brown, Herman: Legal-Herman Brown vs. O.L. Neyland, opinion and brief,"
ref90_og0,43154,"Brown, Herman: Travel, passport,"
ref91_2ix,43155,"Brown, Louis K.: Obituary, clippings,"
ref93_4w7,43157,"Brown, Riney: Receipts, deed,"
ref94_dnf,43158,"Brown Family: Gifts, correspondence,"
ref97_imw,43161,"Brown Family: Itineraries,"
ref99_f0v,43163,"Brown Family: Social, clippings,"
ref130_vfr,43194,"Abercrombie, Milo, clipping and brochure,"
ref131_rod,43195,"Briscoe, Dolph, correspondence,"
ref133_ek8,43197,"Brownell, Herbert, correspondence,"
ref135_me0,43199,"Clark, Ed, clipping,"
ref136_u12,43200,"Connally, John B., correspondence, clippings, published materials,"
ref137_ehu,43201,"Connally, Nellie, correspondence and clippings,"
ref138_zea,43202,"Croneis, Carey E., Colorado School of Mines program,"
ref140_bu8,43204,"deMenil, John & Dominique, clippings,"
ref141_3cm,43205,"Eisenhower, Dwight, clipping,"
ref142_yb6,43206,"Elkins, James A., clipping,"
ref143_u5p,43207,"Frensley, Herbert, clipping,"
ref145_wb5,43209,"Hobby, Oveta Culp, clippings,"
ref146_6b1,43210,"Hogg, Ima, clipping,"
ref147_afm,43211,"Houston, William V., clippings,"
ref148_ssd,43212,"Jester, Beauford, Gov., inaugural program,"
ref149_285,43213,"Johnson, Doris, note,"
ref150_qh9,43214,"Johnson, Lady Bird, clippings,"
ref151_yja,43215,"Johnson, Luci Baines, clippings, wedding program,"
ref152_xdv,43216,"Johnson, Lynda Bird, clippings,"
ref154_rcw,43218,"Johnson, Lyndon B.: Inauguration, invitations, clippings,"
ref158_geb,43222,"Johnson, Lyndon B.: Texas Welcome,"
ref162_jsb,43226,"Kennedy, J.F.: Inauguration,"
ref165_znk,43229,"Leiserson family, clipping,"
ref167_bzc,43231,"Ludwig, Daniel K., clipping,"
ref169_9hs,43233,"McCloy, John J., address text,"
ref170_ax6,43234,"McCollum, L.F., clippings,"
ref171_2do,43235,"Meaders, L.B., party list,"
ref172_hu0,43236,"Meyer, Leopold, horse show report,"
ref173_leg,43237,"Nixon, Richard, letter,"
ref174_jeg,43238,"Noland, Charlotte, clipping,"
ref175_eqe,43239,"O'Connor, Ralph S., correspondence,"
ref177_wh8,43241,"Pitzer, Kenneth, clippings,"
ref178_heo,43242,"Rayburn, Sam, clippings,"
ref179_fv0,43243,"Roosevelt, F.D.: Inauguration invitation,"
ref180_2ne,43244,"Smith, Preston, correspondence, clippings,"
ref182_inc,43246,"Thomas, Albert, clippings,"
ref183_io9,43247,"Westervelt, Sally, clippings,"
ref184_qf2,43248,"Wiley, Jim, clipping,"
ref188_n1e,43250,"Advertising, clippings,"
ref189_rsm,43251,"Anti-Trust, clippings,"
ref190_zhi,43252,"Anti-Union, clippings,"
ref193_3ik,43255,"Bull Shoals Dam, clippings,"
ref194_88c,43256,"Correspondence,"
ref195_2b1,43257,"Financial statement, 7-1-25; Employment,"
ref196_c86,43258,"France, clipping,"
ref197_j37,43259,"Guam, clipping,"
ref200_ybk,43262,"History by Moorehead, draft 1,"
ref201_a35,43263,"History by Moorehead, draft 2,"
ref202_2gq,43264,"History by Dan Dyess,"
ref203_rzt,43265,"History: LBJ Library notes,"
ref205_3ft,43267,"Labor: Taft-Hartley Act, memo,"
ref207_mv5,43269,"Legal, clipping,"
ref208_eld,43270,"Letterhead samples,"
ref209_k5a,43271,"Levingston Shipyards, clipping,"
ref210_0ir,43272,"Logo history,"
ref212_vtd,43274,"Marshall Ford Dam,"
ref213_o7s,43275,"Naval Air Training Station, Corpus Christi, TX, clippings,"
ref214_6of,43276,"North Sea I, clippings,"
ref215_exj,43277,"North Sea II, clippings,"
ref216_rh6,43278,"North Star Project-Soviet Gas,"
ref217_vem,43279,"Personalities, Brown & Root staff,"
ref218_xbe,43280,"Projects, clippings,"
ref219_py8,43281,"Published materials (brochures, booklets),"
ref220_pgg,43282,"Rice Stadium, clipping,"
ref221_zz7,43283,"Road building, reports, clippings,"
ref222_8zr,43284,"Road building (TX A&M records), reports, clippings,"
ref223_3v6,43285,"Road building (HMRC records), reports, clippings,"
ref224_s49,43286,"Ships, clippings,"
ref225_m1w,43287,"Spain, clipping,"
ref226_xig,43288,"Texas Highway Department,"
ref227_5i5,43289,"Water supply report,"
ref232_bk5,43292,"Awards, clippings,"
ref233_z2u,43293,"Bonds, clippings,"
ref238_r0h,43298,"Chemical, clippings,"
ref239_y6t,43299,"Construction/technical, clippings,"
ref240_a76,43300,"History, clippings,"
ref241_w38,43301,"Labor, clippings,"
ref242_69i,43302,"Launching Program, USS Melvin R.Nawman,"
ref244_pw8,43304,"Photographs,"
ref245_pi3,43305,"Photographs-Launching Program,"
ref246_itb,43306,"Post-War, clippings,"
ref247_5wi,43307,"Ships, clippings,"
ref248_r9h,43308,"Shipyard, clippings,"
ref252_xi7,43310,"Brown, Alice Pratt: Art related,"
ref253_zzq,43311,"Brown, Alice Pratt: Misc. (1/2),"
ref254_kua,43312,"Brown, Alice Pratt: Misc. (2/2),"
ref256_3n6,43314,"Brown, Alice Pratt to Isabel Brown,"
ref257_7qa,43315,"Brown, Alice Pratt: White House,"
ref258_qwp,43316,"Brown, George R.: Misc.,"
ref259_tpl,43317,"Brown, George R.: Condolences on death,"
ref260_htw,43318,"Brown, George R.: Condolences on death,"
ref261_n8p,43319,"Brown, George R.: Condolences on death,"
ref262_5m2,43320,"Brown, George R.: Condolences on death,"
ref263_40t,43321,"Brown, George R.: Condolence letter lists,"
ref265_1jn,43323,"Brown, George & Alice: Misc.,"
ref267_ix1,43325,"Brown, George & Alice: [U.S.] Presidential Inauguration invitation,"
ref268_25o,43326,"Brown, Herman: Misc., from H.B.,"
ref269_u33,43327,"Brown, Isabel: Misc., to I.B.,"
ref270_asj,43328,"Brown, Isabel to parents George & Alice Brown,"
ref271_ujj,43329,"Brown, Margarett, to ""A"","
ref272_07w,43330,"Brown, Margarett to Mrs. J.L. Head,"
ref273_q3d,43331,"Connally, John B. to George & Alice Brown,"
ref274_hbs,43332,"Eisenhower, Pres. Dwight to George R. Brown, dinner invitation,"
ref275_db9,43333,"Johnson, Lady Bird to Alice P. Brown-Gifts,"
ref276_qur,43334,"Johnson, Lady Bird to Alice P. Brown-Social,"
ref277_qvw,43335,"Johnson, Lady Bird to George & Alice Brown-Misc.,"
ref278_icp,43336,"Johnson, Lady Bird to Isabel Brown,"
ref279_jpo,43337,"Johnson, Lyndon B.: Misc.,"
ref280_8lq,43338,"Johnson, Lyndon B. to Alice P. Brown,"
ref281_rgg,43339,"Johnson, Lyndon B. to George R. Brown,"
ref282_64g,43340,"Johnson, Lyndon B. to George & Alice Brown,"
ref283_urq,43341,"Johnson, Pres. & Mrs. to George & Alice Brown: Invitations, LBJ Ranch,"
ref284_13q,43342,"Johnson, M/M Lyndon to George & Alice Brown: Invitations, misc.,"
ref285_bpr,43343,"Johnson, Pres. & Mrs. to George & Alice Brown: Invitations, White House,"
ref286_17j,43344,"Johnson, Pres. & Mrs. to George & Alice Brown: Invitations, White House,"
ref287_2vg,43345,"Johnson, Lyndon B. to Isabel Brown Wilson,"
ref288_jd4,43346,"LBJ Foundation,"
ref289_y3i,43347,"LBJ Library, UT Austin, TX,"
ref290_wje,43348,"LBJ School of Public Affairs, UT Austin, TX,"
ref291_8hs,43349,"McKinney, Robert to George R. Brown,"
ref292_y80,43350,"Negley, Nancy Brown to parents George & Alice Brown,"
ref293_cx8,43351,"Nixon, Pat to George & Alice Brown: Invitation, White House,"
ref294_evc,43352,"Parkinson, Lute, to George R. Brown,"
ref295_u8a,43353,"Sims, James R. to Alice P. Brown,"
ref299_624,43355,"Aircraft Conversion Co., reports, balance sheets,"
ref300_khe,43356,"Bald Eagle (horse) health certificate,"
ref301_z0u,43357,"Baylor College of Medicine, clipping,"
ref305_g6s,43361,"Brown Foundation, Inc., clippings, grants accounting information,"
ref307_3l1,43363,"Defense Industry Advisory Council, note,"
ref308_ynv,43364,"Democratic Party, clipping,"
ref313_l9m,43369,"Fort Clark, Bracketville, TX, photographs, clippings,"
ref314_n5m,43370,"George R. Brown Convention Center, clippings,"
ref315_19s,43371,"Guam, clippings, notes,"
ref316_zv8,43372,"Halliburton: General, clippings, reports,"
ref317_gnk,43373,"Halliburton: Historical sketch,"
ref318_i88,43374,"Herman Brown Park, clippings,"
ref319_jhf,43375,"Highland Oil Co., clippings, correspondence,"
ref320_6yf,43376,"Highland Resources, Inc., brochure,"
ref321_4yf,43377,"Houston Center, clippings,"
ref322_mfe,43378,"Houston elites, clippings,"
ref323_5sw,43379,"Houston Endowment, Inc. Annual Report,"
ref324_n3m,43380,"Houston Intercontinental Airport, clippings regarding construction,"
ref327_jqz,43383,"Humble Oil Co., Annual Report,"
ref328_hdo,43384,"Huntlands, Virginia property, clippings,"
ref329_w66,43385,"ITT, travel itinerary for GRB,"
ref331_18y,43387,"Lyndon B. Johnson Library, photocopies of materials relating to Brown family,"
ref332_0kg,43388,"Lyndon B. Johnson-National Archives, photocopies of LBJ correspondence with GRB,"
ref333_o4c,43389,"Lyndon B. Johnson State Park, clippings,"
ref334_ja7,43390,"Maritime Surplus, original documents from Brown Shipbuilding and Brown & Root,"
ref335_pmp,43391,"Memorial Park drilling, clippings,"
ref336_nu9,43392,"Museum of Fine Arts, Houston, clippings, notes,"
ref337_9qh,43393,"National Council of State Boards of Engineering Examiners, proceedings,"
ref346_ohz,43402,"Rice University: Clippings,"
ref348_g44,43404,"Rice University: Correspondence and photographs,"
ref349_bpk,43405,"Rice University: Correspondence, School of Engineering,"
ref350_gpk,43406,"Rice University: building dedications,"
ref369_d13,43423,"Atomic energy, clippings,"
ref370_40e,43424,"Belmont, Augie, correspondence and clippings,"
ref371_k70,43425,"Coal pipelines: Misc. (1/2), correspondence and notes,"
ref372_dv4,43426,"Coal pipelines: Misc. (2/2), correspondence and notes,"
ref373_n0n,43427,"Coal pipelines, notes,"
ref374_nvz,43428,"Coal pipelines: Eminent Domain, correspondence,"
ref375_9rx,43429,"Coal pipelines: Hearing before Senate Committee, testimony,"
ref376_lst,43430,"Coal pipelines: Newsclippings,"
ref377_uea,43431,"Coal pipeline pamphlet,"
ref378_gf7,43432,"Pres. Kennedy's draft bill,"
ref379_cqh,43433,"Coal slurry pipeline, clippings, reports,"
ref380_6xd,43434,"Common stock offer,"
ref381_z8z,43435,"Consolidated Coal Pipeline Project summary,"
ref382_osd,43436,"Correspondence: Misc.,"
ref383_8h4,43437,"Facts file, coal slurry,"
ref384_4dj,43438,"Financing,"
ref386_gll,43440,"History, published documents,"
ref387_99l,43441,"Interim financing and bid to purchase Big Inch & Little Big Inch: Application for certificate of public convenience,"
ref388_87n,43442,"Legal: Misc.,"
ref389_hkt,43443,"[Pipeline] Legislation, correspondence, clippings,"
ref390_d2v,43444,"Newsclips: Misc.,"
ref391_kl5,43445,"North Star Project, clipping,"
ref395_7jl,43449,"Proposed purchase or lease of Big & Little Big Inch Pipelines-E.H. Poe & Associates,"
ref397_umv,43451,"Reports on Gas Through Lines (Big and Little Big Inch),"
ref398_1zq,43452,"Big and Little Big Inch - Second Bid,"
ref399_07s,43453,"Pure Oil Co., correspondence and notes,"
ref400_ddv,43454,"Railroad moves to counter coal pipeline, clippings,"
ref401_f88,43455,"Teal Lodge (requests for use of),"
ref402_buw,43456,"Thagard, W.T.: Statements, scientific papers regarding coal pipelines,"
ref403_p3m,43457,"Trans-Continental Gas Pipe Line Co., Inc., correspondence,"
ref444_m0y,43496,"Letters: Teachers,"
ref445_99z,43497,"Minot Tully Pratt diary,"
ref446_pew,43498,"Minot Tully Pratt photo album,"
ref450_fdi,43500,"Subseries A: Transcripts,"
ref451_jj6,43501,"Akers, William W.,"
ref453_yeg,43503,"Arnold, Dan,"
ref457_29p,43507,"Bentsen, Lloyd,"
ref458_msn,43508,"Bixby, Jack,"
ref460_vqv,43510,"Bolin, L.T., Mrs.,"
ref462_flq,43512,"Booth, Brown,"
